NodeNo,A.melanoleuca,C.dingo,D.marsupialis,E.barbara,L.pardalis,MeanShape,P.lotor,P.uncia,PC1.max,PC1.min,PC2.max,PC2.min,S.harrisii,U.arctos,V.vulpes,V.zibetha,PC1pos.PC2pos,PC1pos.PC2neg,PC1neg.PC2pos,PC1neg.PC2neg
115,4.89568,13.6348,25.4063,9.27069,2.28443,6.77509,1.50589,12.4415,2.7454,18.9889,22.8262,2.6305,5.41233,8.08457,36.2571,24.6433,8.87786,3.17181,33.6453,7.216
116,3.2032,14.1832,20.3485,8.41744,1.70199,7.27915,2.01985,12.2041,1.54643,13.3499,23.6095,1.65694,1.42257,7.82468,44.5757,21.4196,7.78881,2.78839,39.107,7.36796
117,5.35517,14.7405,25.1162,9.24725,2.33253,7.75219,2.64251,12.4197,3.26899,18.9725,23.7498,1.32093,5.62366,7.90133,35.0648,26.8296,8.70364,2.7728,33.7245,8.06479
118,4.82953,16.0948,25.5239,8.62767,2.03033,6.98575,3.20095,12.2401,4.11566,18.2846,23.5835,1.61429,5.48928,6.0903,37.6621,23.0796,8.07226,3.22081,41.8478,7.04643
119,5.21509,15.863,20.1242,8.81131,2.68339,7.92704,4.00192,12.9664,3.56923,17.393,23.6006,1.70124,4.73243,7.05657,42.2642,24.3963,7.90541,1.58005,34.1095,7.06082
120,5.47977,15.4865,22.846,9.30418,1.87116,7.0736,3.18561,12.1294,4.08207,14.4719,23.4179,1.81199,1.20516,7.9288,42.5608,21.5584,8.43352,7.04022,42.5342,5.76352
121,4.08263,14.52,26.3843,8.66742,2.47283,8.37258,4.14281,12.334,1.94585,16.2277,23.2723,4.43223,4.6337,6.04838,28.8073,20.6803,8.34219,2.81329,41.282,4.38504
122,2.57017,14.9216,24.6509,8.0212,2.17508,7.14995,3.85909,11.881,4.1439,16.3973,24.7592,1.47304,2.74216,8.15399,36.0055,21.5604,8.40431,5.27916,35.0603,7.2122
123,5.54126,13.7956,23.2509,9.16744,2.2024,8.15513,3.07092,12.1132,3.97025,10.777,23.8735,4.73462,3.32435,5.87086,37.9747,20.7586,8.21156,2.14571,42.2582,7.01554
124,5.31624,14.5636,21.6106,8.43714,1.55369,8.30549,4.10368,12.1125,4.91031,19.1181,24.1334,1.83505,5.03519,7.97902,43.8919,26.7343,7.87075,3.03192,40.7342,7.96067
125,2.12767,16.5731,24.439,8.10769,1.58537,7.19788,8.19411,12.254,3.48321,11.3495,23.9209,4.76613,1.60208,7.71752,40.1468,23.6253,7.52279,3.28188,41.2993,7.92476
126,5.35603,16.5846,20.2546,9.02283,1.86922,7.88666,3.77865,12.0088,3.63227,18.4556,23.849,0.516407,5.85989,8.0296,32.2605,20.7847,8.92655,5.41075,34.1227,7.99784
127,4.59887,16.0561,25.8125,8.60984,2.60362,7.68213,3.1577,12.9745,3.73998,13.2759,24.126,1.1402,2.25057,5.82628,44.9858,26.265,8.64835,3.19576,43.4365,6.0893
128,5.44201,14.5106,25.9735,8.14812,2.67815,7.95529,2.9898,12.8973,2.575,16.2222,22.7629,1.40337,4.47102,6.66078,36.9761,22.2707,8.94996,2.59281,33.7783,7.89182
129,5.22276,16.1136,25.701,8.08156,2.38734,8.203,2.25319,12.8011,3.86948,18.1488,24.6672,1.66228,4.1581,7.12577,40.1708,26.9803,7.94212,1.78233,41.1827,7.45426
130,5.25587,15.4894,25.6218,9.37482,1.93083,6.95553,4.20138,11.9614,4.01051,14.0918,24.6405,1.80897,5.34503,7.9553,41.3584,26.2697,8.90908,1.34896,43.0915,6.85128
