NodeNo.,A.melanoleuca,C.dingo,D.marsupialis,E.barbara,L.pardalis,MeanShape,P.lotor,P.uncia,PC1.max,PC1.min,PC2.max,PC2.min,S.harrisii,U.arctos,V.vulpes,V.zibetha,PC1pos.PC2pos,PC1pos.PC2neg,PC1neg.PC2pos,PC1neg.PC2neg
105,13.0324,12.9089,10.9615,25.321,19.9144,22.7207,18.8307,25.3247,2.01896,28.4574,7.46025,22.3703,21.7612,19.5704,16.5411,10.8251,10.5383,8.43288,22.951,55.6683
106,11.5602,11.195,6.54679,25.8118,22.111,24.0653,23.4009,31.0184,8.78017,29.4102,6.09121,28.2878,20.9684,18.7704,19.1215,13.3615,8.05595,9.03523,14.2492,54.0891
107,6.93785,15.5216,9.03542,25.2486,20.7666,26.0369,25.7964,32.8102,10.6961,36.8568,6.29687,23.0416,23.6568,19.321,11.2946,12.825,8.5208,7.81388,12.6853,56.9185
108,3.42398,16.3549,6.56697,24.4575,24.5611,22.3938,25.4079,25.3846,3.59952,27.0433,5.23333,4.63571,23.0443,19.0122,10.4536,12.0508,9.56338,11.2333,24.3125,46.5637
109,3.60434,12.3924,7.00932,25.561,24.5974,20.9678,25.9204,31.7255,10.7074,35.6809,12.0111,17.5141,18.046,19.3993,14.4989,9.60678,9.09557,10.3905,10.6982,61.5512
110,14.0191,12.3081,6.35906,25.905,22.3511,24.3853,21.5398,29.475,5.95437,40.0458,10.6379,20.0594,17.2198,18.8683,12.3607,10.2614,9.95795,8.83902,11.4933,58.475
111,10.2974,17.3722,10.152,25.6114,19.7567,25.5361,58.2467,30.7548,9.438,39.1477,9.84142,23.0222,7.17737,18.8104,10.8923,9.28345,7.70872,5.64393,9.36555,61.0016
112,11.6458,11.5017,11.3788,24.4896,20.1345,22.1321,7.36573,30.9969,2.7065,40.5148,5.53813,15.2541,5.84814,19.6116,10.1231,11.1976,9.15536,8.30924,15.3912,56.0653
113,3.53326,10.6213,6.371,25.0454,24.6996,26.385,24.8847,25.5435,11.14,31.6437,10.1276,22.9397,18.377,18.974,11.709,13.7726,8.50412,7.49326,9.33895,57.6664
114,14.3455,11.698,6.61315,24.5173,24.6595,24.8197,18.696,25.6223,11.0246,37.5103,5.84152,12.3391,21.5995,20.5758,12.2323,8.46088,10.4466,6.26365,26.2032,56.1132
115,14.7395,12.6549,11.3323,24.3957,23.1734,19.6833,10.3364,27.257,8.09081,39.2627,8.81126,28.0433,21.9289,20.2551,16.4038,14.8735,7.8602,9.5828,9.89958,50.7925
116,10.5113,10.3606,6.79092,25.1959,20.864,21.5993,9.94428,30.6733,4.6532,27.3803,9.98914,21.0891,5.69649,20.2046,20.6361,11.0051,10.1705,8.4046,24.1188,52.9179
117,14.4911,11.0846,7.35175,24.4133,24.1542,23.4295,13.8992,26.9697,9.49446,39.7814,7.03777,14.9367,22.4867,19.1694,9.63132,10.2257,7.67912,8.55534,14.2412,52.6087
118,14.6437,17.4947,6.85214,26.6859,22.8432,20.1657,23.791,27.2598,11.3359,40.4644,9.56373,18.8003,21.7563,18.1164,18.8843,8.8898,9.3193,9.78889,27.3517,62.8041
119,15.4261,17.2406,8.4672,25.9203,24.8362,23.9741,26.309,33.5076,10.2145,39.6945,5.25236,22.0228,20.616,19.5752,17.8565,8.53977,10.6632,5.70335,15.4924,46.6109
120,15.6103,16.8125,10.4437,25.3679,22.0846,20.8804,23.953,27.1785,11.2594,27.6179,5.05385,23.7914,4.92642,18.6679,17.706,12.4782,8.28063,22.5743,25.1002,59.3197
121,12.7596,14.9475,10.1429,25.5646,24.1137,26.8142,25.76,27.6449,5.83322,30.8183,10.8174,46.0763,20.9075,17.9719,14.0528,11.4129,8.35046,8.86801,20.2932,49.2935
122,8.77461,15.8915,6.26887,26.3323,22.5619,21.2936,22.8805,25.4699,11.4628,39.0504,7.10769,14.9769,13.0438,20.7228,15.7483,10.7038,9.59649,17.5876,19.0581,56.767
123,15.9625,10.0919,10.7566,25.2548,23.7175,25.7132,15.8941,31.3681,11.1004,28.862,7.8581,48.2567,15.5306,17.4288,10.282,11.7081,8.48459,7.3052,23.6929,46.8865
124,14.0672,15.0979,9.63225,26.9749,19.9864,26.8092,26.4814,31.0653,28.3945,39.0784,7.53454,22.8799,22.7958,18.7178,21.0978,11.0198,10.6818,9.61301,16.9668,52.4098
125,7.50617,17.0647,11.4271,24.9,20.2548,21.1884,48.4518,26.3978,3.85241,30.7179,8.53277,46.7664,7.32774,19.4824,14.6351,14.3799,9.27151,10.0844,19.5347,50.6999
