NodeNo,A.melanoleuca,C.dingo,D.marsupialis,E.barbara,L.pardalis,MeanShape,P.lotor,P.uncia,PC1.max,PC1.min,PC2.max,PC2.min,S.harrisii,U.arctos,V.vulpes,V.zibetha,PC1pos.PC2pos,PC1pos.PC2neg,PC1neg.PC2pos,PC1neg.PC2neg
71,3.00856,20.3864,17.4131,11.3657,4.63235,11.5991,14.0384,64.6935,3.92698,28.5905,20.4588,15.7039,6.9807,8.59314,17.6315,18.2824,8.5701,1.58538,28.7897,59.6643
72,5.80272,20.7337,15.2895,4.88458,11.4007,13.956,18.2303,70.2039,4.26356,27.7269,20.6188,11.7865,7.49179,8.77401,18.9658,17.3069,9.14884,1.24097,26.5187,22.4674
73,5.79865,19.401,15.6824,7.15286,20.3272,4.83774,22.5278,68.2233,3.29067,35.9729,15.7116,8.76237,8.01051,11.9333,18.3532,17.6405,10.5995,2.19534,25.9053,66.7353
74,6.4589,19.8908,12.9058,6.51305,11.8248,5.62606,8.35382,66.3808,2.2463,29.2198,21.4937,10.317,6.55905,9.03102,22.7574,17.9264,6.96955,4.0641,22.49,17.6067
75,6.87749,20.1767,16.57,10.1063,9.59311,15.1458,14.6613,66.2595,2.32768,36.8904,20.264,7.09918,9.75974,4.32212,20.814,19.8327,10.2235,0.82542,27.0712,54.5222
76,8.71172,17.9025,16.9104,3.87523,20.3277,12.0202,9.14471,65.0461,3.00194,34.2654,16.3704,16.2066,4.90577,2.24635,21.2733,17.7024,6.00406,4.79538,23.4495,68.8246
77,6.02622,15.6025,14.2216,6.70412,7.48124,13.3964,7.76599,66.5931,3.44118,28.9767,18.9712,7.84185,9.53328,10.6509,22.8246,19.9145,8.3701,3.053,30.4819,26.9261
78,8.9711,21.9996,13.6706,11.2579,4.06667,16.3957,25.8973,69.845,2.07938,27.9721,17.0706,8.40802,3.57491,6.0496,23.1683,18.1979,8.89981,3.00948,23.4795,60.0475
79,4.74601,17.2717,17.1093,10.7322,4.94811,3.83854,24.7438,67.0659,4.29596,27.8247,19.1175,14.5362,4.74725,7.53405,17.2374,17.6991,7.80813,3.93798,25.4265,58.8254
80,3.31573,17.4528,16.7939,7.76781,19.5758,8.07232,25.5078,65.7582,2.00485,20.0313,17.3614,16.6094,8.33312,2.18314,23.465,18.5228,8.30822,3.34629,30.9046,46.2297
81,5.86454,18.6408,14.2395,4.68634,15.8656,6.47564,24.3189,63.0624,2.5178,38.1401,16.7675,8.53404,9.33973,4.63565,20.0399,20.5813,9.99362,2.78422,21.3807,29.6556
82,4.40045,15.9572,13.4252,8.00387,9.2597,6.10666,22.2666,62.7878,2.18799,28.4286,21.5504,13.7952,2.70845,4.33135,20.7423,20.5852,10.654,2.4835,31.2906,72.5202
83,6.89909,22.448,17.4042,2.65637,13.891,11.7052,9.60384,70.0927,2.32047,39.1871,18.885,15.767,5.972,2.62639,16.6171,20.663,10.4831,1.15141,22.6503,60.8533
84,9.85703,20.2642,14.3548,9.78181,22.7939,12.3725,8.73205,68.479,4.24693,20.5209,16.0066,6.96784,7.02982,4.80517,23.1153,18.4478,10.7547,1.87255,26.0392,34.8966
85,4.89106,21.5648,17.4723,3.18785,9.0727,5.13641,9.5056,63.7626,4.58413,26.1754,21.3435,8.01531,1.97243,9.5764,15.021,20.9598,6.52837,0.869404,29.5071,69.0614
86,2.68932,20.4791,16.269,9.09005,13.664,7.81091,13.7187,69.4679,2.60776,34.2875,21.3879,13.3763,9.88138,3.27025,21.8943,19.6413,5.67564,4.36978,31.5256,64.0847
87,4.39166,18.8848,14.5173,5.05282,4.85981,3.87227,26.3397,62.982,2.92313,37.839,17.9372,13.6554,4.4947,2.86737,21.5426,19.6034,7.46075,3.79032,35.177,51.2886
88,2.3896,20.3901,14.0288,6.66664,22.1434,4.00411,19.9039,63.5159,2.5978,28.3188,19.7713,6.68606,4.56304,3.92111,14.9352,20.716,5.60781,2.74237,26.3876,21.4613
89,8.1011,21.1294,13.2398,10.0468,19.2576,9.01713,21.022,71.1035,3.48516,27.5858,16.5722,9.76415,3.99592,9.74486,17.1263,17.3861,7.49698,2.06615,27.5294,58.9813
90,5.25046,16.8526,15.5628,9.25804,7.33429,5.76664,18.6107,66.645,2.16714,38.159,18.2763,16.5572,4.99606,5.56095,14.576,17.229,5.32622,2.26962,29.1987,44.424
91,2.60728,20.5837,17.6722,11.7953,16.673,9.51494,12.0436,67.7478,5.14583,39.1883,21.5345,24.5777,8.52564,6.72967,20.784,17.7742,10.5921,5.08086,35.0901,66.6243
92,3.98671,21.1387,16.6435,11.4686,22.2027,7.08818,32.5792,68.3238,4.06483,17.9925,21.5713,8.64384,9.01087,10.9043,23.3341,17.1563,9.37956,1.23125,33.3669,74.9704
93,5.78868,16.0291,16.6103,8.04461,3.84203,15.7188,24.7673,64.5586,2.91092,38.2361,22.2602,15.4971,1.38573,10.8352,22.6238,18.6695,10.0278,4.73248,29.2139,58.2025
94,3.26169,19.7975,15.1971,6.08344,21.4972,6.5456,12.9168,69.9554,5.12087,37.7619,19.9223,7.33039,9.8102,8.80883,21.0764,19.377,8.54195,4.11746,21.4191,57.6146
95,10.1579,22.2736,13.5753,8.59964,9.69267,5.17072,18.8051,66.8979,4.90386,31.6178,19.578,6.46976,3.95674,6.11975,20.6225,21.6024,5.1698,5.68495,31.436,16.8386
96,5.43601,20.4388,15.3307,7.6821,22.851,14.0455,26.4433,68.2729,2.89467,33.3608,22.3441,11.1012,8.52095,9.22528,22.2295,20.5494,11.1851,4.01059,24.9236,64.631
97,4.2271,23.1543,16.9879,5.90016,10.7739,4.7731,8.93739,64.789,2.94404,40.4543,15.8602,7.19263,6.41306,7.78736,15.8631,19.2072,8.18899,1.93136,33.7203,45.027
98,9.3518,23.3263,16.7934,6.91469,5.79392,13.4598,8.86297,69.1293,2.40707,37.6043,18.6749,12.0126,8.26916,3.56695,18.2781,19.5124,8.62185,1.66128,33.4765,61.407
99,6.26527,15.2255,17.5451,6.52371,11.4894,10.8531,16.9765,68.5603,3.30782,27.7614,16.791,17.1357,3.36829,2.97696,24.8486,18.4568,6.10707,6.45086,34.4737,63.3138
100,7.00177,20.4661,16.2073,5.80984,3.74145,6.84295,14.8381,68.3018,1.9759,31.0941,19.1271,13.8568,7.24621,4.60386,24.2927,20.7106,11.1732,4.45397,20.7519,77.8205
101,6.23176,18.4577,14.1677,4.85602,5.92257,14.2676,8.20822,65.8882,2.97317,27.6363,21.6862,14.0019,3.89701,10.2228,21.9838,16.8225,9.61502,2.7945,32.7909,68.7733
102,5.36908,20.7877,16.1732,10.186,7.84223,10.6325,25.2453,66.8067,2.82977,38.6793,21.28,17.1109,10.3837,12.8909,24.109,20.9816,6.47145,4.47653,34.5301,24.0744
103,9.82874,21.3475,13.9962,8.67272,4.65112,15.7544,23.1441,70.6476,2.96305,29.6663,21.6323,16.2421,9.68866,10.5229,21.4701,17.5434,6.82151,0.976141,27.2665,16.1952
104,10.1839,17.6897,13.5535,5.73234,19.2063,12.9489,9.58272,68.0114,5.08141,19.8538,22.3997,16.6527,4.02186,7.46636,16.6224,17.0895,9.24653,3.67937,25.6704,15.7417
105,3.17222,16.9794,17.3577,12.6805,23.2789,7.79224,8.46203,62.372,2.38785,30.3681,18.662,5.97272,1.28085,1.70626,24.4796,18.5319,5.60753,3.09581,32.7394,17.6431
