NodeNo,A.melanoleuca,C.dingo,D.marsupialis,E.barbara,L.pardalis,MeanShape,P.lotor,P.uncia,PC1.max,PC1.min,PC2.max,PC2.min,S.harrisii,U.arctos,V.vulpes,V.zibetha,PC1pos.PC2pos,PC1pos.PC2neg,PC1neg.PC2pos,PC1neg.PC2neg
93,3.28701,9.11415,10.7131,10.3576,4.52261,8.21745,3.97072,12.8556,2.5192,21.2227,15.4881,1.44975,5.67957,7.61761,18.5534,12.1001,7.2647,1.37696,24.2941,7.41482
94,4.93439,14.381,13.7686,8.89088,3.25474,9.04756,4.9241,13.5186,3.24565,20.3582,17.5224,1.07321,5.33064,7.59754,15.6709,12.4816,7.25826,1.58366,11.2739,7.02614
95,4.7047,13.4489,10.9332,9.47202,4.2276,8.83429,4.34793,13.1047,2.26936,13.1257,10.7898,1.2597,1.73831,6.1019,20.0291,15.874,6.99299,5.85671,16.1647,5.64377
96,4.77419,17.0777,9.15721,10.225,3.09423,8.84734,3.77209,12.803,2.20873,13.2899,19.278,0.679748,4.09015,6.1996,17.1188,16.9911,8.33299,1.61621,11.8912,6.9523
97,5.14996,15.2276,15.1928,9.21626,4.14358,8.83167,1.50002,12.3569,3.00683,20.0654,9.33685,1.31998,5.56702,7.72279,12.419,14.1524,7.38153,2.27889,20.0331,7.17104
98,4.72455,14.2643,14.8179,9.46431,4.63712,8.29264,2.86761,13.4669,1.38761,17.5261,12.8995,1.44119,5.25721,7.84306,17.1211,14.5247,7.14246,2.44925,18.3756,7.09724
99,2.33826,9.91387,14.794,10.4128,3.95358,8.88321,4.49683,12.7079,3.59877,19.8044,9.47601,1.44063,5.46021,6.37605,18.9908,11.8134,7.23256,4.38234,18.0941,6.98152
100,4.85107,11.251,9.81773,10.4982,4.62465,9.00913,4.50622,13.1546,1.19418,14.8449,14.7422,1.50534,6.85086,7.78408,18.4246,17.7923,7.81101,1.49969,10.746,7.6387
101,2.53611,9.46,8.69682,8.888,4.31589,8.84925,1.23357,12.996,3.19346,13.8404,19.3335,0.861262,5.95013,7.46013,21.9293,11.5471,7.7672,2.28836,21.6889,6.68142
102,5.01708,16.9733,15.5258,9.23377,4.18635,8.3872,3.96819,12.3704,3.41245,22.8364,12.6686,1.2604,6.25544,6.12563,22.9204,17.5442,6.80285,1.43331,21.8558,6.47266
103,4.65803,11.9503,8.1821,10.0788,4.66716,8.95239,3.07205,13.6647,3.51105,12.7944,12.0734,1.12001,5.10555,7.75304,25.6101,11.3851,7.26367,2.50425,25.9973,6.31302
104,4.49401,12.6201,11.173,10.4651,3.48155,8.61699,4.27032,12.6635,3.42709,20.1006,19.1273,1.41774,1.60108,5.93442,15.2553,11.2012,7.69465,2.00919,26.1132,6.17104
105,4.24462,11.858,15.3242,9.8897,2.94927,8.66506,3.71014,12.5782,0.725125,14.3432,12.1719,1.27661,5.94084,6.99222,19.5644,13.3655,7.16157,2.15657,23.2169,6.21644
106,3.88273,9.55901,8.42671,8.58668,3.88928,8.89426,3.83277,12.5262,2.83308,15.506,9.50139,1.95029,6.27438,6.33715,24.8842,16.0142,7.8735,2.39769,13.7973,7.49438
107,2.17713,15.0484,11.8797,9.2261,3.27345,9.08477,4.48486,13.2239,3.30891,20.2697,9.65483,1.39522,7.15186,7.77123,13.4039,15.3973,7.68733,1.95508,12.734,7.06598
108,1.17992,15.5295,8.69211,9.86807,4.55621,8.65382,4.34599,12.5352,1.13119,12.8848,9.0588,0.628097,7.04543,7.48223,12.5255,14.5436,7.05372,2.89025,23.4098,6.9032
109,1.15861,11.2729,9.56948,10.4832,4.52092,8.44488,4.56826,13.7316,3.52279,18.8312,19.5462,0.974878,5.19901,6.83651,17.885,11.9632,7.25518,2.65056,10.9705,7.2994
110,4.92114,10.6452,8.36649,10.1418,4.01399,9.19788,3.52721,13.4086,1.86784,21.3023,16.0003,1.53136,5.13044,7.81447,14.5421,12.2101,7.18956,2.26357,11.332,7.35071
111,3.41771,17.7761,13.8588,10.1529,2.92825,9.02222,10.9676,12.0906,2.82147,23.018,14.4775,1.34022,1.93089,6.15204,13.1733,11.1515,8.54297,1.38989,10.563,6.51573
112,3.74195,9.95829,15.9999,10.0893,2.95735,8.54826,1.31303,12.6442,0.888875,21.1242,9.58076,0.928922,1.63673,6.90919,12.2872,13.5586,6.72903,2.1773,14.5838,7.28098
113,1.14466,9.02069,8.28223,10.484,4.55313,9.17673,4.13089,12.5535,3.6709,16.8736,14.9228,1.46584,5.49371,7.86223,13.9066,16.5825,7.28443,1.8736,10.2575,5.87937
114,4.9535,10.5112,8.49082,10.2431,4.4486,9.01861,4.26734,12.4905,3.62541,19.5186,10.0701,0.793163,6.60871,7.33177,14.9809,10.9337,7.0074,1.53814,25.2872,7.3848
115,4.86711,10.8512,16.0287,10.2867,4.31376,8.07733,1.78255,12.6044,2.61334,21.9489,14.4016,1.9232,6.84286,7.73037,19.3213,17.6836,8.24562,2.55666,11.8602,7.01996
116,3.32789,8.91164,8.77491,9.1057,3.31644,8.44996,2.26714,12.2434,1.45978,13.4097,16.1798,1.17363,1.57676,7.8689,26.5495,13.0571,6.95073,2.22151,24.4169,7.17804
117,5.09375,9.48615,10.1946,10.3383,4.04151,8.85182,2.98851,12.6178,3.0955,21.7324,11.6004,1.34927,6.95517,7.89202,11.9081,12.6877,8.16691,2.21239,15.7651,7.84863
118,4.8356,17.8626,9.2725,9.35774,3.58183,8.33442,3.88665,12.9209,3.77985,20.8254,13.9518,1.52849,6.82275,6.036,24.575,11.1208,7.13913,2.60801,26.8826,7.05913
119,5.15,16.8413,11.2246,10.0155,4.73626,9.01405,4.73263,13.3009,3.35961,20.2026,9.23009,1.22562,6.06736,7.10925,22.9959,11.0159,7.08635,1.3629,16.5897,6.83602
120,5.30032,16.0067,14.3826,10.5356,3.36117,8.31787,3.86914,12.8284,3.69018,14.0223,8.96874,1.37921,1.38032,7.65498,23.0459,14.9914,7.55734,5.9388,24.2977,5.93013
