NodeNo,A.melanoleuca,C.dingo,D.marsupialis,E.barbara,L.pardalis,MeanShape,P.lotor,P.uncia,PC1.max,PC1.min,PC2.max,PC2.min,S.harrisii,U.arctos,V.vulpes,V.zibetha
145,3.01094,15.4788,19.2772,8.01484,2.26222,6.94792,2.09205,12.0983,4.00826,14.724,24.7745,1.12554,5.27117,8.07487,32.3963,25.0386
146,3.67839,13.7638,25.477,8.02708,2.54376,7.73543,8.54219,13.4389,2.65907,12.5564,24.8413,1.57266,5.26301,5.41222,31.9233,21.9056
147,5.72526,13.5331,20.1886,9.3979,2.72873,8.17229,3.94571,12.554,2.09359,12.4656,23.4236,1.82394,5.99818,7.9178,27.1956,22.2972
148,5.87559,16.4843,23.4972,9.05813,2.777,7.5354,3.26858,12.3954,4.15764,14.1017,24.9783,1.55394,3.2413,7.98407,41.585,26.68
149,6.15328,15.8813,25.963,9.52355,2.69157,7.08585,3.36534,12.7902,0.876191,15.5183,24.889,4.51373,4.75718,7.71123,43.9766,26.7952
150,5.87848,15.0362,25.1225,8.53464,2.34166,7.81684,7.03166,12.1219,3.76295,19.4498,24.3647,1.67332,5.26654,6.28929,42.5744,26.5844
151,6.04074,14.404,21.9175,8.47726,1.61801,7.77004,3.38334,12.638,4.26087,16.4269,23.6192,1.83806,4.47087,7.177,33.9454,26.0715
152,6.03663,15.0501,24.9235,9.37056,1.58812,6.96721,4.33125,12.7147,4.27826,20.1669,24.8237,1.75649,1.80767,5.75755,40.8225,26.8161
153,4.96752,13.1245,25.8942,8.73065,1.43249,6.88548,0.998121,12.4947,3.97742,12.9078,23.515,1.63076,3.76047,6.68201,31.4937,27.6429
154,2.77499,16.634,20.0881,9.07733,1.51489,7.31513,3.2946,13.3118,3.89079,19.4369,23.5473,1.2813,5.97673,5.47944,45.4225,21.7265
155,5.65759,13.4485,25.8144,7.83617,2.5587,7.61806,4.38053,12.4075,3.7803,12.1919,24.118,1.80549,3.15852,4.96256,45.0825,21.5646
156,5.54197,16.4075,25.065,9.27817,1.73215,6.74052,1.98376,13.4079,2.83802,18.3271,24.0175,1.18654,4.05994,8.01766,30.9793,23.9575
157,5.54963,15.6827,19.328,9.23625,1.40888,8.50854,4.66783,12.4967,3.31766,19.0976,24.3429,4.20387,5.7646,6.88838,35.1213,26.656
158,6.20467,14.345,22.0135,8.98672,2.1897,7.76765,1.04637,13.4581,1.91245,17.5081,24.725,1.88672,4.7904,7.97207,42.076,21.5999
159,2.29708,15.5869,21.435,8.12765,2.80342,8.15753,3.03692,13.3124,4.13265,19.8191,23.4259,0.925096,4.16054,6.83125,42.6122,26.0437
160,5.72459,16.3279,23.839,8.26064,2.67693,7.38153,3.23266,13.4272,4.28113,20.2232,23.366,1.8089,4.88211,6.0738,33.9222,22.0454
161,6.15975,14.8537,24.3622,8.09021,2.41895,8.02772,4.64327,13.3486,4.27675,13.3885,24.8892,1.5147,4.79122,6.60192,41.5429,24.1674
162,5.55324,14.095,25.2444,9.38878,1.80666,6.8606,3.61096,12.4485,3.90418,15.3147,23.9071,1.043,5.57966,7.06238,30.1952,27.1013
163,4.46203,15.0135,25.2071,8.95756,1.37118,8.38105,4.73725,12.2442,2.26801,20.0971,23.5256,1.86462,4.87857,8.20977,31.4153,26.7861
164,6.00757,13.123,24.9065,9.07092,1.36245,8.01039,7.93055,12.3589,4.27192,13.8954,24.5096,1.77614,4.73861,7.99082,37.4571,26.7303
165,5.86729,14.9595,20.9262,9.35018,2.74486,8.53839,4.8668,12.7274,3.7085,20.3348,24.6367,1.86255,4.25304,7.74306,42.1429,25.2487
